728C,Jamie,80120901,20 Mccallum Street,069046
917B,Mikey,92831030,51 Bukit Batok Crescent #05-21,658077
739Z,Prakash,92381030,121 Defu Lane 10,539231
312J,Ahmad,83921030,18 Boon Lay Way #10-164,609966
629C,Justin,98310230,7 Outram Road #08-00,169608
623A,Holly,88032100,133 New Bridge Rd #03-08,059413
173H,Priya,83021039,7 Joo Chiat Place,427742
738I,Jon,92381023,190 Middle Rd #19-05,188979
807B,Kai,83291030,203 Lorong Chuan,556741
910I,Cheryl,99210300,415 Hougang Avenue 10 #01-1282,530415
830X,Chaegoon,83922302,161 Kallang Way #06-16,349247
012J,Vikas,90280183,262D Compassvale St #05-01,544262
582C,Zhi Xiong,83291030,787A Upper Serangoon Road,534655
183H,Felicia,93822030,267D Up Paya Lebar Rd,535001
930A,Kevin,82930103,183B Rivervale Cres #05-255,542183
901Z,Melody,83921023,328 Woodlands Street 32 #08-65,730328
402B,Wei Xiong,90231012,190 Lor 6 Toa Payoh #01-510,310190
381H,Arrjun,83920134,409 Pandan Garden #06-68,600409
900C,Oliver,90321039,45 Sims Drive #01-160,380045
703H,Qing Qing,93210032,288 Balestier Rd #01-02,329731
890E,Ting Ping,83293103,432 Clementi Ave 3 #01-288,120432
201F,Jansen,81231041,205 Bedok North St 1 #01-369,460205
239A,Maxwell,92301032,132 Jln Bt Merah #01-1334,160132
123G,Kirthi,83291032,93 Cashew Road #14-01,679664
112J,Ganesh,92391035,20 Woodlands Link #02-33,738733
120C,Yan Yi,83202032,85 Telok Blangah Heights,100085
931A,Ayden,92183021,246 Tanjong Katong Rd,437034
390F,Ryan,92310302,631 Bedok Reservoir Rd #01-900,470631
785D,Genevieve,93213942,244 Jurong East St 24,600244
167A,Adil,83291302,20 Changi Road,659480
